Date,Open,High,Low,Close,Volume
1995-05-04,25.154749822118838,25.154749822118838,25.01894760131836,25.01894760131836,55800
1995-05-05,24.904028935793068,24.904028935793068,24.7368878019958,24.86224365234375,3000
1995-05-08,24.862252731163967,25.01894760131836,24.862252731163967,25.01894760131836,53000
1995-05-09,25.071175280280805,25.071175280280805,24.9249267578125,24.9249267578125,3700
1995-05-10,25.14430293139196,25.14430293139196,25.018947038090463,25.08162498474121,1300
1995-05-11,25.039837450680146,25.154747009277344,25.039837450680146,25.154747009277344,10600
1995-05-12,25.1756368713505,25.290546417236328,25.1756368713505,25.290546417236328,2500
1995-05-15,25.332321791813293,25.44723129272461,25.332321791813293,25.44723129272461,5400
1995-05-16,25.520375057150535,25.64573097229004,25.478589752104035,25.64573097229004,1100
1995-05-17,25.603938606234166,25.656170223137952,25.583045959472656,25.583045959472656,42600
1995-05-18,25.541259747557035,25.541259747557035,25.363672256469727,25.363672256469727,3700
1995-05-19,25.112959934750716,25.248762130737305,25.112959934750716,25.248762130737305,600
1995-05-22,25.34276811007796,25.46812392925394,25.34276811007796,25.44723129272461,26500
1995-05-23,25.509904347214043,25.635260142532047,25.478565398384543,25.572582244873047,2900
1995-05-24,25.760626463088865,25.760626463088865,25.614377975463867,25.614377975463867,8100
1995-05-25,25.50992158975939,25.666616439819336,25.50992158975939,25.666616439819336,9200
1995-05-26,25.60392782685194,25.60392782685194,25.35321617126465,25.35321617126465,2800
1995-05-30,25.541262571748934,25.551708895909158,25.405460357666016,25.405460357666016,6000
1995-05-31,25.353228736864892,25.405460357666016,25.217426522781974,25.405460357666016,4000
1995-06-01,25.551689612320047,25.583028561149547,25.530796979767043,25.572582244873047,7700
1995-06-02,25.436804447057533,25.64573097229004,25.436804447057533,25.64573097229004,3600
1995-06-05,25.708411534627277,25.948677062988278,25.708411534627277,25.94867706298828,2300
1995-06-06,25.959115308873795,26.000900605145624,25.885991040398093,25.927776336669922,71800
1995-06-07,25.86509155100952,25.875537872314453,25.86509155100952,25.875537872314453,300
1995-06-08,25.8024105025876,25.906873703002933,25.8024105025876,25.90687370300293,2100
1995-06-09,25.865105165111878,25.865105165111878,25.708410263061523,25.708410263061523,700
1995-06-12,25.739739714369264,25.885988235473633,25.739739714369264,25.885988235473633,29300
1995-06-13,26.03222465515137,26.08445624555095,26.011332018991535,26.032224655151367,3600
1995-06-14,26.08447691515571,26.105369567871094,26.042691609724944,26.105369567871094,2500
1995-06-15,26.094901455435785,26.24114990234375,26.094901455435785,26.24114990234375,3200
1995-06-16,26.1267970375128,26.241985321044922,26.1267970375128,26.241985321044922,900
1995-06-19,26.346709822855995,26.545671463012695,26.304823161770372,26.545671463012695,31500
1995-06-20,26.58754825441619,26.61896323856871,26.535189947495326,26.556133270263672,2000
1995-06-21,26.71322315017024,26.744638151914852,26.67133648117742,26.692279815673828,3300
1995-06-22,26.76557253118147,26.90170415986119,26.744629203692284,26.859817504882812,4200
1995-06-23,26.94360323115673,26.94360323115673,26.880773219735453,26.891244888305664,115200
1995-06-26,26.723692017083295,26.723692017083295,26.535202026367188,26.535202026367188,1900
1995-06-27,26.472376336872316,26.472376336872316,26.21058464050293,26.21058464050293,2700
1995-06-28,26.34672197527724,26.420023665987472,26.21059026395824,26.33625030517578,4000
1995-06-29,26.430500358614804,26.503802063254387,26.315311965609748,26.420028686523438,1800
1995-06-30,26.5980402778884,26.660870294292863,26.5247385920832,26.577096939086914,3700
1995-07-03,26.577094707211064,26.587566375732425,26.556151370168344,26.587566375732422,900
1995-07-05,26.765579868875264,26.838881535182825,26.74463653564453,26.74463653564453,7800
1995-07-06,26.734160059850566,26.90170669555664,26.734160059850566,26.90170669555664,1000
1995-07-07,27.03785109994605,27.352001190185547,26.97502108189815,27.352001190185547,210300
1995-07-10,27.383416851818335,27.477661881136257,27.2787001525762,27.331058502197266,63700
1995-07-11,27.226325680065706,27.341513981019833,27.173967361450195,27.173967361450195,51800
1995-07-12,27.32057596614864,27.603310941651134,27.32057596614864,27.498594284057617,13700
1995-07-13,27.550964255879606,27.73945431920375,27.498605904956232,27.676624298095703,20600
1995-07-14,27.4776629893952,27.60332303355402,27.46719131904863,27.54049301147461,21800
1995-07-17,27.64519534634403,27.73944033047929,27.5718936920166,27.5718936920166,21700
1995-07-18,27.65567222311779,27.65567222311779,27.29963554928742,27.341522216796875,16000
1995-07-19,27.006434393698473,27.016906062715027,26.231530886473312,26.608510971069336,23400
1995-07-20,26.796999871173753,26.95407489972694,26.78652820260354,26.891244888305664,108600
1995-07-21,27.06925074628652,27.142552392407993,26.97500577270177,27.048307418823242,2500
1995-07-24,27.12161061215822,27.247270584106445,27.12161061215822,27.247270584106445,2100
1995-07-25,27.299630404514726,27.5718936920166,27.299630404514726,27.5718936920166,3400
1995-07-26,27.540487537145705,27.74992090244719,27.540487537145705,27.655675888061523,7100
1995-07-27,27.88605499267578,27.88605499267578,27.88605499267578,27.88605499267578,2300
1995-07-28,27.959356676847293,27.959356676847293,27.802281639336915,27.88605499267578,1600
1995-07-31,27.844159436288606,27.865102767944336,27.739442778009973,27.865102767944336,5200
1995-08-01,27.85462699746186,27.85462699746186,27.477647083210496,27.749910354614258,8300
1995-08-02,27.86510596743732,27.86510596743732,27.80227596525595,27.823219299316406,4500
1995-08-03,27.341519320830134,27.456707644280584,27.15302933700212,27.43576431274414,4200
1995-08-04,27.540492735363188,27.55096440560477,27.488134384155273,27.488134384155273,2000
1995-08-07,27.50906272732246,27.67660935984517,27.50906272732246,27.6661376953125,3300
1995-08-08,27.78134137835235,27.78134137835235,27.60332298278809,27.603322982788086,4000
1995-08-09,27.812716152763223,27.812716152763223,27.739414566517233,27.791772842407227,1700
1995-08-10,27.82321744533027,27.854632444327628,27.62425578501364,27.69755744934082,4700
1995-08-11,27.739441904154692,27.739441904154692,27.61378191817891,27.64519691467285,35000
1995-08-14,27.697550119405772,27.85462507282395,27.697550119405772,27.8127384185791,3100
1995-08-15,27.89652666184314,27.89652666184314,27.728979955165403,27.88605499267578,6500
1995-08-16,27.906990245969187,28.21066856384277,27.906990245969187,28.210668563842773,40600
1995-08-17,28.336336699079872,28.461996728787543,28.26303501508373,28.44105339050293,17500
1995-08-18,28.608589211632225,28.608589211632225,28.399155908472398,28.482929229736328,1300
1995-08-21,28.587649170781525,28.619064169870295,28.242084180805044,28.25255584716797,14000
1995-08-22,28.22113862166629,28.336326942571052,28.200195290592696,28.263025283813477,6300
