Date,Open,High,Low,Close,Volume
2000-05-26,32.592045440465235,32.726261138916016,32.43546045893932,32.726261138916016,74800
2000-05-30,33.196013991897175,33.934200286865234,33.196013991897175,33.934200286865234,57600
2000-05-31,34.046032008279134,34.49341744859817,34.046032008279134,34.05721664428711,36000
2000-06-01,34.756267889999165,34.8289680480957,34.756267889999165,34.8289680480957,7000
2000-06-02,36.40600314507118,36.6408805847168,36.40600314507118,36.6408805847168,29400
2000-06-05,36.55139519654068,36.909303595038025,36.46191809691635,36.506656646728516,48400
2000-06-06,37.082682592776216,37.513291333485576,36.752735635609305,36.86458206176758,151800
2000-06-07,36.64086668534712,36.909297943115234,36.30532761313698,36.909297943115234,131000
2000-06-08,37.31197143035555,37.31197143035555,36.819847106933594,36.819847106933594,91400
2000-06-09,37.17774715138905,37.46854782104492,37.15537786910783,37.46854782104492,41600
2000-06-12,37.580381075687875,37.580381075687875,36.32770170649828,36.35566329956055,85200
2000-06-13,36.26620724308389,36.819847106933594,35.92507560980276,36.819847106933594,168200
2000-06-14,37.12182010399116,37.12182010399116,36.6408805847168,36.6408805847168,43200
2000-06-15,36.41718041954971,36.685611724853516,36.06486433133846,36.685611724853516,26800
2000-06-16,36.84220721574008,36.864576497595415,36.48429870605469,36.48429870605469,30200
2000-06-19,36.68562263963325,37.40143966674805,36.51785302390322,37.40143966674805,59200
2000-06-20,37.457352609345406,37.70341464499951,37.3119523155498,37.647491455078125,47000
2000-06-21,37.33326197826672,37.91519531845553,37.33326197826672,37.84804916381836,66800
2000-06-22,37.95994500881288,37.95994500881288,36.70655059814453,36.70655059814453,139600
2000-06-23,37.06466910852254,37.06466910852254,36.16938724599783,36.46035385131836,235800
2000-06-26,36.605831916582375,36.907989501953125,36.4379665913764,36.907989501953125,93600
2000-06-27,36.96393792510253,37.288477495138245,36.3260498046875,36.3260498046875,112800
2000-06-28,36.48275020030829,37.37803241381278,36.48275020030829,37.24374008178711,170600
2000-06-29,37.064661885355854,37.13180801195976,36.54987491472591,36.66178512573242,212200
2000-06-30,36.68417752843325,37.014312744140625,36.38201987337904,37.014312744140625,1171800
2000-07-03,36.93037561952321,37.534690856933594,36.88561152786318,37.534690856933594,15800
2000-07-05,37.32206165718658,37.333252680172244,36.98073545612386,37.109432220458984,138800
2000-07-06,37.12062429322926,37.54588317871094,36.77370257086263,37.54588317871094,154600
2000-07-07,37.551479252028805,37.92637853825827,37.551479252028805,37.7808952331543,71800
2000-07-10,37.75851503296976,38.161391897577616,37.75851503296976,38.027099609375,44800
2000-07-11,37.959948277290806,38.17257770455157,37.84803805241672,37.982330322265625,253200
2000-07-12,38.183765572250955,38.743316650390625,38.13900148599978,38.743316650390625,45200
2000-07-13,38.77688876085312,38.866416931152344,38.676169569266484,38.866416931152344,102600
2000-07-14,39.067863063790305,39.067863063790305,38.58664905297879,38.89999771118164,54800
2000-07-17,38.93357490618295,39.10144027657465,38.83285568394792,39.03429412841797,46600
2000-07-18,38.77688744521614,38.77688744521614,38.36281967163086,38.36281967163086,235400
2000-07-19,38.23972439822561,38.23972439822561,37.69136428833008,37.69136428833008,35400
2000-07-20,38.049462131250685,38.31804656982422,38.049462131250685,38.31804656982422,150400
2000-07-21,38.094241333007815,38.094241333007815,37.26610565185547,37.26610565185547,150600
2000-07-24,37.46755761967987,37.46755761967987,36.64501715222274,36.72335433959961,37000
2000-07-25,37.01430264180594,37.01430264180594,36.57225730413358,36.796077728271484,36800
2000-07-26,36.52750063378371,36.728939056396484,36.147005835515124,36.728939056396484,15800
2000-07-27,36.65620667832836,36.65620667832836,35.72175598144531,35.72175598144531,275000
2000-07-28,35.928770373062214,35.928770373062214,35.00551120602355,35.09503936767578,171600
2000-07-31,35.27411549126924,35.99034118652344,34.871238537688754,35.99034118652344,166400
2000-08-01,35.72175605308282,35.85604836907186,35.55389065809653,35.75532913208008,263400
2000-08-02,35.542683343887326,36.01270623445511,35.45315517425537,35.8112678527832,388600
2000-08-03,35.117436958298676,35.85604461898947,35.117436958298676,35.78889846801758,1084200
2000-08-04,36.21415526717067,36.225346291666085,35.75532326285855,35.967952728271484,570400
2000-08-07,36.10223086619169,36.63380432128906,36.10223086619169,36.63380432128906,88200
2000-08-08,36.527499991007716,36.639410223823305,36.46035385131836,36.46035385131836,49600
2000-08-09,36.72894615448135,36.72894615448135,36.19737243652344,36.19737243652344,23000
2000-08-10,36.20297068980203,36.236543769267065,35.87843092163997,35.99034118652344,43000
2000-08-11,35.63221725799635,36.617027282714844,35.63221725799635,36.617027282714844,176000
2000-08-14,36.50511921988208,36.99752426147461,36.48273717253697,36.99752426147461,56800
