Date,Open,High,Low,Close,Volume
2006-06-26,149.4522331000848,149.71463741619533,149.14883905769267,149.56703186035156,24900
2006-06-27,149.52604193460016,149.87863365776107,149.52604193460016,149.58343505859375,23400
2006-06-28,148.96839199974295,149.1323883892667,148.96839199974295,149.09959411621094,125000
2006-06-29,148.58300418267535,150.231201171875,148.55840534810133,150.231201171875,47600
2006-06-30,151.526757072586,151.7071568384626,151.48576736298608,151.6415557861328,31800
2006-07-03,151.4725279421709,151.68595751235108,151.02103026876608,151.13595581054688,17200
2006-07-05,151.13595581054688,151.13595581054688,151.13595581054688,151.13595581054688,0
2006-07-06,151.13595581054688,151.13595581054688,151.13595581054688,151.13595581054688,0
2006-07-07,152.22775682095553,152.22775682095553,151.91581069212694,152.1046142578125,8500
2006-07-10,151.30008440495158,151.4642619078033,151.28366289688424,151.37396240234375,13800
2006-07-11,151.38216204286465,151.80902099609375,151.37394502680388,151.80902099609375,13000
2006-07-12,150.96355499059587,150.96355499059587,150.63519989221663,150.79937744140625,700
2006-07-13,151.62026105405735,151.62026105405735,151.17698046735634,151.43145751953125,14800
2006-07-14,151.1113211012133,151.1113211012133,150.9471435546875,150.9471435546875,6200
2006-07-17,149.6090895206338,149.83894061768453,149.55162048339844,149.55162048339844,13300
2006-07-18,150.50383755718647,150.50383755718647,150.14263947008644,150.20831298828125,42700
2006-07-19,150.16724566041327,151.60382080078125,150.16724566041327,151.60382080078125,900
2006-07-20,152.21957446558739,152.21957446558739,152.06361389160156,152.06361389160156,7300
2006-07-21,152.8680592280352,152.97478027838125,152.8680592280352,152.95835876464844,600
2006-07-24,152.5232653722551,152.5232653722551,152.23594528112704,152.27699279785156,1000
2006-07-25,151.94859528582288,152.0224732797312,151.46425476523052,151.51351928710938,18000
2006-07-26,152.26877356169393,152.70384963977244,152.26877356169393,152.6299591064453,20000
2006-07-27,153.52470847561182,153.52470847561182,152.79410803866503,152.94186401367188,10000
2006-07-28,153.54116148228627,153.63146100155168,153.44265747070312,153.44265747070312,14900
2006-07-31,153.79566239413901,153.9023709059071,153.549389821082,153.85311889648438,14400
2006-08-01,153.8448842817268,154.62724160992315,153.76253815391118,154.58607482910156,36400
2006-08-02,154.71785944854278,154.8249232570773,154.495513553213,154.63551330566406,9400
2006-08-03,155.60732069514782,155.60732069514782,155.27791090667668,155.48379516601562,24300
2006-08-04,157.04017497630375,157.52605848855652,157.04017497630375,157.2048797607422,25500
2006-08-07,157.41903565816804,157.51786860746665,156.95785711535052,157.04844665527344,12600
